"exp","block","plot","plant","seed","trt","gopher","year","taxa","mass"
"FIRE","F1",1,"A",0,"CONTROL",1,2005,"BROMUS MADRITENSIS",0.1545
"FIRE","F1",1,"A",0,"CONTROL",1,2005,"CONYZA CANADENSIS",0.201
"FIRE","F1",1,"A",0,"CONTROL",1,2005,"ELYMUS GLAUCUS",13.65
"FIRE","F1",1,"A",0,"CONTROL",1,2005,"HORDEUM MARINUM",4.6685
"FIRE","F1",1,"A",0,"CONTROL",1,2005,"LACTUCA SERRIOLA",0.028
"FIRE","F1",1,"A",0,"CONTROL",1,2005,"LITTER",314.750005
"FIRE","F1",1,"A",0,"CONTROL",1,2005,"VICIA SPECIES",89.25
"FIRE","F1",1,"A",0,"CONTROL",1,2005,"VULPIA MYUROS",27.15
"FIRE","F2",10,"P",1,"FIRE",1,2001,"AMSINCKIA MENZIESII",7.15
"FIRE","F2",10,"P",1,"FIRE",1,2001,"BROMUS CARINATUS",34.85
"FIRE","F2",10,"P",1,"FIRE",1,2001,"BROMUS DIANDRUS",12.9
"FIRE","F2",10,"P",1,"FIRE",1,2001,"BROMUS HORDEACEUS",131.7
"FIRE","F2",10,"P",1,"FIRE",1,2001,"BROMUS MADRITENSIS",2.3
"FIRE","F2",10,"P",1,"FIRE",1,2001,"GRASS SPECIES",5.1
"FIRE","F2",10,"P",1,"FIRE",1,2001,"HORDEUM MURINUM",3.1
"FIRE","F2",10,"P",1,"FIRE",1,2001,"LACTUCA SERRIOLA",0.1
"FIRE","F2",10,"P",1,"FIRE",1,2001,"LITTER",106.499995
"FIRE","F2",10,"P",1,"FIRE",1,2001,"LOLLIUM MULTIFLORUM",5.35
"FIRE","F2",10,"P",1,"FIRE",1,2001,"NASSELLA PULCHRA",41.95
"FIRE","F2",10,"P",1,"FIRE",1,2001,"POA SECUNDA",1.7
"FIRE","F2",10,"P",1,"FIRE",1,2001,"VULPIA MYUROS",15.1
"FIRE","F2",10,"P",1,"FIRE",1,2002,"BROMUS DIANDRUS",12.55
"FIRE","F2",10,"P",1,"FIRE",1,2002,"BROMUS HORDEACEUS",124.849995
"FIRE","F2",10,"P",1,"FIRE",1,2002,"HORDEUM MURINUM",1.35
"FIRE","F2",10,"P",1,"FIRE",1,2002,"LITTER",504.850005
"FIRE","F2",10,"P",1,"FIRE",1,2002,"NASSELLA PULCHRA",54.8
"FIRE","F2",10,"P",1,"FIRE",1,2002,"VULPIA MYUROS",0.35
"FIRE","F2",10,"P",1,"FIRE",1,2003,"AMSINCKIA MENZIESII",184.55
"FIRE","F2",10,"P",1,"FIRE",1,2003,"BRASSICA NIGRA",48.3
"FIRE","F2",10,"P",1,"FIRE",1,2003,"BROMUS DIANDRUS",0.6
"FIRE","F2",10,"P",1,"FIRE",1,2003,"BROMUS HORDEACEUS",118.950005
"FIRE","F2",10,"P",1,"FIRE",1,2003,"BROMUS MADRITENSIS",33.4
"FIRE","F2",10,"P",1,"FIRE",1,2003,"CONYZA CANADENSIS",8.95
"FIRE","F2",10,"P",1,"FIRE",1,2003,"ERODIUM CICUTARIUM",0.4
"FIRE","F2",10,"P",1,"FIRE",1,2003,"HORDEUM MURINUM",8.6
"FIRE","F2",10,"P",1,"FIRE",1,2003,"LACTUCA SERRIOLA",23.35
"FIRE","F2",10,"P",1,"FIRE",1,2003,"LITTER",337.79999
"FIRE","F2",10,"P",1,"FIRE",1,2003,"LOLLIUM MULTIFLORUM",6
"FIRE","F2",10,"P",1,"FIRE",1,2003,"NASSELLA PULCHRA",17.7
"FIRE","F2",10,"P",1,"FIRE",1,2003,"VULPIA MYUROS",8.7
"FIRE","F2",10,"P",1,"FIRE",1,2004,"AMSINCKIA MENZIESII",9.3
"FIRE","F2",10,"P",1,"FIRE",1,2004,"BRASSICA NIGRA",3.3
"FIRE","F2",10,"P",1,"FIRE",1,2004,"BROMUS CARINATUS",0.042
"FIRE","F2",10,"P",1,"FIRE",1,2004,"BROMUS HORDEACEUS",1.8
"FIRE","F2",10,"P",1,"FIRE",1,2004,"LITTER",444.55002
"FIRE","F2",10,"P",1,"FIRE",1,2004,"NASSELLA PULCHRA",3.85
"FIRE","F2",10,"P",1,"FIRE",1,2004,"POA SECUNDA",3.85
"FIRE","F2",10,"P",1,"FIRE",1,2004,"VULPIA MYUROS",4.5
"FIRE","F2",10,"P",1,"FIRE",1,2005,"AMSINCKIA MENZIESII",57.75
"FIRE","F2",10,"P",1,"FIRE",1,2005,"BRASSICA NIGRA",1.0415
"FIRE","F2",10,"P",1,"FIRE",1,2005,"BROMUS DIANDRUS",1.222
"FIRE","F2",10,"P",1,"FIRE",1,2005,"BROMUS HORDEACEUS",152.799995
"FIRE","F2",10,"P",1,"FIRE",1,2005,"BROMUS MADRITENSIS",14.95
"FIRE","F2",10,"P",1,"FIRE",1,2005,"CONYZA CANADENSIS",1.5055
"FIRE","F2",10,"P",1,"FIRE",1,2005,"ELYMUS GLAUCUS",7.5
"FIRE","F2",10,"P",1,"FIRE",1,2005,"LITTER",228.3
"FIRE","F2",10,"P",1,"FIRE",1,2005,"NASSELLA PULCHRA",4.7745
"FIRE","F2",10,"P",1,"FIRE",1,2005,"VULPIA MYUROS",211.399995
"FIRE","F2",11,"A",1,"FIRE",1,2001,"AMSINCKIA MENZIESII",884.749985
"FIRE","F2",11,"A",1,"FIRE",1,2001,"BROMUS CARINATUS",24.55
"FIRE","F2",11,"A",1,"FIRE",1,2001,"BROMUS DIANDRUS",1.85
"FIRE","F2",11,"A",1,"FIRE",1,2001,"BROMUS HORDEACEUS",3.25
"FIRE","F2",11,"A",1,"FIRE",1,2001,"ELYMUS GLAUCUS",9.85
"FIRE","F2",11,"A",1,"FIRE",1,2001,"GRASS SPECIES",0.75
"FIRE","F2",11,"A",1,"FIRE",1,2001,"HORDEUM MURINUM",0.55
"FIRE","F2",11,"A",1,"FIRE",1,2001,"LITTER",23.4
"FIRE","F2",11,"A",1,"FIRE",1,2001,"LOLLIUM MULTIFLORUM",0.25
"FIRE","F2",11,"A",1,"FIRE",1,2001,"NASSELLA PULCHRA",0.4
"FIRE","F2",11,"A",1,"FIRE",1,2001,"VULPIA MYUROS",1.8
"FIRE","F2",11,"A",1,"FIRE",1,2002,"BROMUS CARINATUS",50.5
"FIRE","F2",11,"A",1,"FIRE",1,2002,"BROMUS HORDEACEUS",1.05
"FIRE","F2",11,"A",1,"FIRE",1,2002,"BROMUS MADRITENSIS",5.85
"FIRE","F2",11,"A",1,"FIRE",1,2002,"CONYZA CANADENSIS",0.45
"FIRE","F2",11,"A",1,"FIRE",1,2002,"ELYMUS GLAUCUS",34.45
"FIRE","F2",11,"A",1,"FIRE",1,2002,"HORDEUM MURINUM",0.7
"FIRE","F2",11,"A",1,"FIRE",1,2002,"LITTER",467.5
"FIRE","F2",11,"A",1,"FIRE",1,2002,"NASSELLA PULCHRA",9.25
"FIRE","F2",11,"A",1,"FIRE",1,2002,"VULPIA MYUROS",0.45
"FIRE","F2",11,"A",1,"FIRE",1,2003,"AMSINCKIA MENZIESII",251.25
"FIRE","F2",11,"A",1,"FIRE",1,2003,"BRASSICA NIGRA",37.9
"FIRE","F2",11,"A",1,"FIRE",1,2003,"BROMUS CARINATUS",2.05
"FIRE","F2",11,"A",1,"FIRE",1,2003,"BROMUS HORDEACEUS",179.15001
"FIRE","F2",11,"A",1,"FIRE",1,2003,"BROMUS MADRITENSIS",82.95
"FIRE","F2",11,"A",1,"FIRE",1,2003,"CONYZA CANADENSIS",0.65
"FIRE","F2",11,"A",1,"FIRE",1,2003,"ELYMUS GLAUCUS",7.6
"FIRE","F2",11,"A",1,"FIRE",1,2003,"ERODIUM CICUTARIUM",0.25
"FIRE","F2",11,"A",1,"FIRE",1,2003,"HORDEUM MURINUM",1.1
"FIRE","F2",11,"A",1,"FIRE",1,2003,"LACTUCA SERRIOLA",1.35
"FIRE","F2",11,"A",1,"FIRE",1,2003,"LITTER",318.500005
"FIRE","F2",11,"A",1,"FIRE",1,2003,"LOLLIUM MULTIFLORUM",0.4
"FIRE","F2",11,"A",1,"FIRE",1,2003,"MEDICAGO POLYMORPHA",1.45
"FIRE","F2",11,"A",1,"FIRE",1,2003,"NASSELLA PULCHRA",1.4
"FIRE","F2",11,"A",1,"FIRE",1,2003,"VULPIA MYUROS",34.1
"FIRE","F2",11,"A",1,"FIRE",1,2004,"BROMUS CARINATUS",5.55
"FIRE","F2",11,"A",1,"FIRE",1,2004,"BROMUS DIANDRUS",1.3515
"FIRE","F2",11,"A",1,"FIRE",1,2004,"BROMUS HORDEACEUS",9.85
"FIRE","F2",11,"A",1,"FIRE",1,2004,"BROMUS MADRITENSIS",0.1175
"FIRE","F2",11,"A",1,"FIRE",1,2004,"ELYMUS GLAUCUS",11.05
"FIRE","F2",11,"A",1,"FIRE",1,2004,"HORDEUM MURINUM",0.194
"FIRE","F2",11,"A",1,"FIRE",1,2004,"LITTER",202.749995
"FIRE","F2",11,"A",1,"FIRE",1,2004,"POA SECUNDA",0.0755
"FIRE","F2",11,"A",1,"FIRE",1,2004,"VULPIA MYUROS",3.45
"FIRE","F2",11,"A",1,"FIRE",1,2005,"AMSINCKIA MENZIESII",1.254
"FIRE","F2",11,"A",1,"FIRE",1,2005,"BROMUS CARINATUS",12.55
"FIRE","F2",11,"A",1,"FIRE",1,2005,"BROMUS HORDEACEUS",64.05
"FIRE","F2",11,"A",1,"FIRE",1,2005,"BROMUS MADRITENSIS",1.8345
"FIRE","F2",11,"A",1,"FIRE",1,2005,"CONYZA CANADENSIS",2.3565
"FIRE","F2",11,"A",1,"FIRE",1,2005,"ELYMUS GLAUCUS",114.700005
"FIRE","F2",11,"A",1,"FIRE",1,2005,"HORDEUM MARINUM",2.729
"FIRE","F2",11,"A",1,"FIRE",1,2005,"LITTER",443.34999
"FIRE","F2",11,"A",1,"FIRE",1,2005,"MEDICAGO POLYMORPHA",4.771
"FIRE","F2",11,"A",1,"FIRE",1,2005,"VULPIA MYUROS",31.4
"FIRE","F2",12,"P",0,"FIRE",1,2001,"AMSINCKIA MENZIESII",0.75
"FIRE","F2",12,"P",0,"FIRE",1,2001,"BROMUS ARENARIUS",1.55
"FIRE","F2",12,"P",0,"FIRE",1,2001,"BROMUS CARINATUS",14.95
"FIRE","F2",12,"P",0,"FIRE",1,2001,"BROMUS DIANDRUS",4.05
"FIRE","F2",12,"P",0,"FIRE",1,2001,"BROMUS HORDEACEUS",24.5
"FIRE","F2",12,"P",0,"FIRE",1,2001,"BROMUS MADRITENSIS",5.65
"FIRE","F2",12,"P",0,"FIRE",1,2001,"ELYMUS GLAUCUS",2
"FIRE","F2",12,"P",0,"FIRE",1,2001,"FORB SPECIES",0.045
"FIRE","F2",12,"P",0,"FIRE",1,2001,"HORDEUM MURINUM",31.4
"FIRE","F2",12,"P",0,"FIRE",1,2001,"LITTER",275.1
"FIRE","F2",12,"P",0,"FIRE",1,2001,"NASSELLA PULCHRA",135.1
"FIRE","F2",12,"P",0,"FIRE",1,2001,"POA SECUNDA",23.05
"FIRE","F2",12,"P",0,"FIRE",1,2001,"SONCHUS SPECIES",0.1
"FIRE","F2",12,"P",0,"FIRE",1,2001,"VULPIA MYUROS",73.9
"FIRE","F2",12,"P",0,"FIRE",1,2002,"BROMUS CARINATUS",4.75
"FIRE","F2",12,"P",0,"FIRE",1,2002,"BROMUS DIANDRUS",5.4
"FIRE","F2",12,"P",0,"FIRE",1,2002,"BROMUS HORDEACEUS",39.75
"FIRE","F2",12,"P",0,"FIRE",1,2002,"ELYMUS GLAUCUS",2.3
"FIRE","F2",12,"P",0,"FIRE",1,2002,"HORDEUM MURINUM",0.2
"FIRE","F2",12,"P",0,"FIRE",1,2002,"LACTUCA SERRIOLA",0.05
"FIRE","F2",12,"P",0,"FIRE",1,2002,"LITTER",454.399985
"FIRE","F2",12,"P",0,"FIRE",1,2002,"NASSELLA PULCHRA",51.5
"FIRE","F2",12,"P",0,"FIRE",1,2002,"VULPIA MYUROS",41.5
"FIRE","F2",12,"P",0,"FIRE",1,2003,"AMSINCKIA MENZIESII",164.24999
"FIRE","F2",12,"P",0,"FIRE",1,2003,"BROMUS CARINATUS",3.85
"FIRE","F2",12,"P",0,"FIRE",1,2003,"BROMUS DIANDRUS",2.55
"FIRE","F2",12,"P",0,"FIRE",1,2003,"BROMUS HORDEACEUS",128.599995
"FIRE","F2",12,"P",0,"FIRE",1,2003,"BROMUS MADRITENSIS",8.4
"FIRE","F2",12,"P",0,"FIRE",1,2003,"ELYMUS GLAUCUS",18.2
"FIRE","F2",12,"P",0,"FIRE",1,2003,"HORDEUM MURINUM",56.45
"FIRE","F2",12,"P",0,"FIRE",1,2003,"LACTUCA SERRIOLA",5.8
"FIRE","F2",12,"P",0,"FIRE",1,2003,"LITTER",683.949965
"FIRE","F2",12,"P",0,"FIRE",1,2003,"LOLLIUM MULTIFLORUM",1.25
"FIRE","F2",12,"P",0,"FIRE",1,2003,"NASSELLA PULCHRA",58.2
"FIRE","F2",12,"P",0,"FIRE",1,2003,"VULPIA MYUROS",2.9
"FIRE","F2",12,"P",0,"FIRE",1,2004,"BROMUS DIANDRUS",2.461
"FIRE","F2",12,"P",0,"FIRE",1,2004,"BROMUS HORDEACEUS",6.75
"FIRE","F2",12,"P",0,"FIRE",1,2004,"BROMUS MADRITENSIS",0.343
"FIRE","F2",12,"P",0,"FIRE",1,2004,"CONYZA CANADENSIS",0.1935
"FIRE","F2",12,"P",0,"FIRE",1,2004,"ELYMUS GLAUCUS",6
"FIRE","F2",12,"P",0,"FIRE",1,2004,"ERODIUM CICUTARIUM",0.0625
"FIRE","F2",12,"P",0,"FIRE",1,2004,"LACTUCA SERRIOLA",0.897
"FIRE","F2",12,"P",0,"FIRE",1,2004,"LITTER",479.55002
"FIRE","F2",12,"P",0,"FIRE",1,2004,"NASSELLA PULCHRA",72.35
"FIRE","F2",12,"P",0,"FIRE",1,2004,"VULPIA MYUROS",24.7
"FIRE","F2",12,"P",0,"FIRE",1,2005,"AMSINCKIA MENZIESII",5.6125
"FIRE","F2",12,"P",0,"FIRE",1,2005,"BROMUS CARINATUS",5.5
"FIRE","F2",12,"P",0,"FIRE",1,2005,"BROMUS DIANDRUS",37.75
"FIRE","F2",12,"P",0,"FIRE",1,2005,"BROMUS HORDEACEUS",170.1
"FIRE","F2",12,"P",0,"FIRE",1,2005,"ERODIUM CICUTARIUM",6.5315
"FIRE","F2",12,"P",0,"FIRE",1,2005,"GERANIUM MOLLE",1.0785
"FIRE","F2",12,"P",0,"FIRE",1,2005,"HORDEUM MURINUM",1.131
"FIRE","F2",12,"P",0,"FIRE",1,2005,"LITTER",341.69998
"FIRE","F2",12,"P",0,"FIRE",1,2005,"NASSELLA PULCHRA",16.05
"FIRE","F2",12,"P",0,"FIRE",1,2005,"POA SECUNDA",2.5
"FIRE","F2",12,"P",0,"FIRE",1,2005,"VULPIA MYUROS",135.649995
"FIRE","F2",13,"P",1,"CONTROL",1,2001,"AMSINCKIA MENZIESII",1.05
"FIRE","F2",13,"P",1,"CONTROL",1,2001,"BROMUS CARINATUS",32.25
"FIRE","F2",13,"P",1,"CONTROL",1,2001,"BROMUS DIANDRUS",6.2
"FIRE","F2",13,"P",1,"CONTROL",1,2001,"BROMUS HORDEACEUS",7.4
"FIRE","F2",13,"P",1,"CONTROL",1,2001,"CONYZA CANADENSIS",0.45
"FIRE","F2",13,"P",1,"CONTROL",1,2001,"ELYMUS GLAUCUS",7.8
"FIRE","F2",13,"P",1,"CONTROL",1,2001,"ERODIUM CICUTARIUM",0.55
"FIRE","F2",13,"P",1,"CONTROL",1,2001,"FORB SPECIES",0.045
"FIRE","F2",13,"P",1,"CONTROL",1,2001,"GRASS SPECIES",2.4
"FIRE","F2",13,"P",1,"CONTROL",1,2001,"HORDEUM MURINUM",9.2
"FIRE","F2",13,"P",1,"CONTROL",1,2001,"LACTUCA SERRIOLA",3.8
"FIRE","F2",13,"P",1,"CONTROL",1,2001,"LITTER",211.550005
"FIRE","F2",13,"P",1,"CONTROL",1,2001,"NASSELLA PULCHRA",35.1
"FIRE","F2",13,"P",1,"CONTROL",1,2001,"VULPIA MYUROS",59.8
"FIRE","F2",13,"P",1,"CONTROL",1,2002,"BROMUS CARINATUS",1.6
"FIRE","F2",13,"P",1,"CONTROL",1,2002,"BROMUS DIANDRUS",5
"FIRE","F2",13,"P",1,"CONTROL",1,2002,"BROMUS HORDEACEUS",8.1
"FIRE","F2",13,"P",1,"CONTROL",1,2002,"CONYZA CANADENSIS",0.45
"FIRE","F2",13,"P",1,"CONTROL",1,2002,"ELYMUS GLAUCUS",2.35
"FIRE","F2",13,"P",1,"CONTROL",1,2002,"ERODIUM CICUTARIUM",2.45
"FIRE","F2",13,"P",1,"CONTROL",1,2002,"HORDEUM MURINUM",0.1
"FIRE","F2",13,"P",1,"CONTROL",1,2002,"LACTUCA SERRIOLA",0.9
"FIRE","F2",13,"P",1,"CONTROL",1,2002,"LITTER",314.9
"FIRE","F2",13,"P",1,"CONTROL",1,2002,"LOLLIUM SPECIES",6.95
"FIRE","F2",13,"P",1,"CONTROL",1,2002,"NASSELLA PULCHRA",49.05
"FIRE","F2",13,"P",1,"CONTROL",1,2002,"VULPIA MYUROS",63.95
"FIRE","F2",13,"P",1,"CONTROL",1,2003,"AMSINCKIA MENZIESII",1.5
"FIRE","F2",13,"P",1,"CONTROL",1,2003,"BROMUS CARINATUS",7.65
"FIRE","F2",13,"P",1,"CONTROL",1,2003,"BROMUS DIANDRUS",19.5
"FIRE","F2",13,"P",1,"CONTROL",1,2003,"BROMUS HORDEACEUS",57.6
"FIRE","F2",13,"P",1,"CONTROL",1,2003,"BROMUS MADRITENSIS",0.3
"FIRE","F2",13,"P",1,"CONTROL",1,2003,"ELYMUS GLAUCUS",1.85
"FIRE","F2",13,"P",1,"CONTROL",1,2003,"LACTUCA SERRIOLA",6.55
"FIRE","F2",13,"P",1,"CONTROL",1,2003,"LITTER",791.25
"FIRE","F2",13,"P",1,"CONTROL",1,2003,"NASSELLA PULCHRA",111.400005
"FIRE","F2",13,"P",1,"CONTROL",1,2003,"VULPIA MYUROS",6.95
"FIRE","F2",13,"P",1,"CONTROL",1,2004,"BRASSICA NIGRA",0.1465
"FIRE","F2",13,"P",1,"CONTROL",1,2004,"BROMUS CARINATUS",0.337
"FIRE","F2",13,"P",1,"CONTROL",1,2004,"BROMUS DIANDRUS",1.444
"FIRE","F2",13,"P",1,"CONTROL",1,2004,"BROMUS HORDEACEUS",12.2
"FIRE","F2",13,"P",1,"CONTROL",1,2004,"CONYZA CANADENSIS",0.0285
"FIRE","F2",13,"P",1,"CONTROL",1,2004,"ELYMUS GLAUCUS",6.35
"FIRE","F2",13,"P",1,"CONTROL",1,2004,"HORDEUM MURINUM",0.0455
"FIRE","F2",13,"P",1,"CONTROL",1,2004,"LACTUCA SERRIOLA",0.399
"FIRE","F2",13,"P",1,"CONTROL",1,2004,"LITTER",242.05
"FIRE","F2",13,"P",1,"CONTROL",1,2004,"LOLLIUM SPECIES",0.208
"FIRE","F2",13,"P",1,"CONTROL",1,2004,"NASSELLA PULCHRA",38.9
"FIRE","F2",13,"P",1,"CONTROL",1,2004,"VULPIA MYUROS",18.7
"FIRE","F2",13,"P",1,"CONTROL",1,2005,"AMSINCKIA MENZIESII",5.0855
"FIRE","F2",13,"P",1,"CONTROL",1,2005,"BRASSICA NIGRA",0.4765
"FIRE","F2",13,"P",1,"CONTROL",1,2005,"BROMUS DIANDRUS",13.95
"FIRE","F2",13,"P",1,"CONTROL",1,2005,"BROMUS HORDEACEUS",97.299995
"FIRE","F2",13,"P",1,"CONTROL",1,2005,"CONYZA CANADENSIS",0.1465
"FIRE","F2",13,"P",1,"CONTROL",1,2005,"ELYMUS GLAUCUS",21.8
"FIRE","F2",13,"P",1,"CONTROL",1,2005,"ERODIUM CICUTARIUM",30.8
"FIRE","F2",13,"P",1,"CONTROL",1,2005,"HORDEUM MURINUM",0.3045
"FIRE","F2",13,"P",1,"CONTROL",1,2005,"LACTUCA SERRIOLA",0.356
"FIRE","F2",13,"P",1,"CONTROL",1,2005,"LITTER",379.04999
"FIRE","F2",13,"P",1,"CONTROL",1,2005,"LOLLIUM MULTIFLORUM",3.637
"FIRE","F2",13,"P",1,"CONTROL",1,2005,"NASSELLA PULCHRA",12.4
"FIRE","F2",13,"P",1,"CONTROL",1,2005,"POA SECUNDA",1.231
"FIRE","F2",13,"P",1,"CONTROL",1,2005,"VULPIA MYUROS",190.04999
"FIRE","F2",14,"A",1,"CONTROL",1,2001,"AMSINCKIA MENZIESII",289.750005
"FIRE","F2",14,"A",1,"CONTROL",1,2001,"BRASSICA NIGRA",0.25
"FIRE","F2",14,"A",1,"CONTROL",1,2001,"BROMUS CARINATUS",35.55
"FIRE","F2",14,"A",1,"CONTROL",1,2001,"BROMUS HORDEACEUS",4.55
"FIRE","F2",14,"A",1,"CONTROL",1,2001,"BROMUS MADRITENSIS",5.6
"FIRE","F2",14,"A",1,"CONTROL",1,2001,"ELYMUS GLAUCUS",8.8
"FIRE","F2",14,"A",1,"CONTROL",1,2001,"FORB SPECIES",0.045
"FIRE","F2",14,"A",1,"CONTROL",1,2001,"HORDEUM MURINUM",1.8
"FIRE","F2",14,"A",1,"CONTROL",1,2001,"LITTER",184.699995
"FIRE","F2",14,"A",1,"CONTROL",1,2001,"NASSELLA PULCHRA",0.8
"FIRE","F2",14,"A",1,"CONTROL",1,2001,"VULPIA MYUROS",16.5
"FIRE","F2",14,"A",1,"CONTROL",1,2002,"BROMUS CARINATUS",19.8
"FIRE","F2",14,"A",1,"CONTROL",1,2002,"BROMUS DIANDRUS",2.55
"FIRE","F2",14,"A",1,"CONTROL",1,2002,"BROMUS HORDEACEUS",69.8
"FIRE","F2",14,"A",1,"CONTROL",1,2002,"BROMUS MADRITENSIS",8.2
"FIRE","F2",14,"A",1,"CONTROL",1,2002,"ELYMUS GLAUCUS",24.95
"FIRE","F2",14,"A",1,"CONTROL",1,2002,"HORDEUM MURINUM",9.5
"FIRE","F2",14,"A",1,"CONTROL",1,2002,"LITTER",617.99999
"FIRE","F2",14,"A",1,"CONTROL",1,2002,"NASSELLA PULCHRA",3.55
