Block,Plot,Comp,Species,Abvbiom,NReproInfl,PlotSize_Infl
2,41,Exotic,Bh,10.54,44,0.0625
2,41,Exotic,Hm,0.1975,5,0.0625
2,41,Exotic,La,0.0381,11,0.0625
2,41,Exotic,Pm,0,0,0.64
2,41,Exotic,Vmy,3.81,72,0.0625
3,69,Exotic,Ab,0.0001,6,0.0625
3,69,Exotic,Bh,12.9,30,0.0625
3,69,Exotic,Hm,1.4,4,0.0625
3,69,Exotic,La,1.32,23,0.0625
3,69,Exotic,Pm,0,5,0.64
3,69,Exotic,Vmy,1.98,37,0.0625
4,95,Exotic,Ab,2.4323,1,0.64
4,95,Exotic,Bh,7.64,24,0.0625
4,95,Exotic,Hm,0.0866,1,0.0625
4,95,Exotic,La,0.1051,4,0.0625
4,95,Exotic,Pm,0,3,0.64
4,95,Exotic,Vmy,1.86,8,0.0625
5,109,Exotic,Ab,4.96,13,0.64
5,109,Exotic,Bh,8.35,32,0.0625
5,109,Exotic,Hm,1.58,5,0.0625
5,109,Exotic,La,0.79,23,0.0625
5,109,Exotic,Pm,0,1,0.64
5,109,Exotic,Vmy,2.24,24,0.0625
1,202,Hm,Hm,12.45,63,0.0625
2,45,Hm,Hm,8.16,24,0.0625
3,67,Hm,Hm,8.88,55,0.0625
4,230,Hm,Hm,5.17,27,0.0625
5,118,Hm,Hm,13.54,55,0.0625
1,10,La,La,19.92,265,0.0625
2,37,La,La,13.76,143,0.0625
3,223,La,La,12.31,170,0.0625
4,232,La,La,15.79,93,0.0625
5,119,La,La,16.96,127,0.0625
1,3,Native,Am,2.04,23,0.0625
1,3,Native,Cc,3.37,13,0.0625
1,3,Native,Cp,23.6,17,0.0625
1,3,Native,Vmi,5.48,9,0.0625
1,3,Native,Vo,0.0617,7,0.0625
2,44,Native,Am,1.67,29,0.0625
2,44,Native,Cc,0.1271,3,0.0625
2,44,Native,Cp,8.82,24,0.0625
2,44,Native,Vmi,3.47,32,0.0625
2,44,Native,Vo,0.7,9,0.0625
3,64,Native,Am,5.59,22,0.0625
3,64,Native,Cc,0.84,13,0.0625
3,64,Native,Cp,8.8,24,0.0625
3,64,Native,Vmi,14.49,65,0.0625
3,64,Native,Vo,0.2961,6,0.0625
4,86,Native,Am,0,2,0.64
4,86,Native,Cc,0.2683,5,0.0625
4,86,Native,Cp,1.8588,26,0.0625
4,86,Native,Vmi,30.82,95,0.0625
4,86,Native,Vo,0.1976,8,0.0625
5,120,Native,Am,0.3036,0,0.64
5,120,Native,Cc,0.2296,2,0.0625
5,120,Native,Cp,5.5,11,0.0625
5,120,Native,Vmi,3.99,5,0.0625
5,120,Native,Vo,0.3586,16,0.0625
1,9,Pm,Pm,10.66,141,0.0625
2,215,Pm,Pm,2.47,15,0.01
3,224,Pm,Pm,5.49,118,0.0625
4,231,Pm,Pm,1.92,27,0.01
5,239,Pm,Pm,1.55,23,0.01
1,5,Vmi,Vmi,16.64,270,0.0625
2,46,Vmi,Vmi,13.46,220,0.0625
3,71,Vmi,Vmi,12.09,163,0.0625
4,96,Vmi,Vmi,20.18,180,0.0625
5,113,Vmi,Vmi,10.8,350,0.0625
1,8,Vmy,Vmy,25.58,345,0.0625
2,48,Vmy,Vmy,9.22,222,0.0625
3,63,Vmy,Vmy,13.28,214,0.0625
4,87,Vmy,Vmy,11.35,286,0.0625
5,116,Vmy,Vmy,9.47,107,0.0625
1,12,Vo,Vo,12.9,159,0.01
2,43,Vo,Vo,8.49,125,0.01
3,62,Vo,Vo,8.61,150,0.01
4,94,Vo,Vo,12.73,118,0.01
5,115,Vo,Vo,8.45,118,0.01
