publication_year,reference,pubtype,ocean,ocean_region,hemisphere,lat,long,size_km2,notes.geo,year_start,year_end,timespan,years_data,sampling_frequency,note.time,taxa,group,species_name,common_name,lifestage,trophic_level,range_edge,species_type,number_species,note.spp,detailobs,notes_obs,measurement_type,decadal_change_daysperdecade,decadal unit,metric_source,note.bio,notes,consistent_with_climatechange,Exploited,Nonclimatic_factors_analysed,season,SeasonalClimateShift_daysperdecade,depth_category,LifeHistoryDevelopment
2004,"Juanes, F., S. Gephard and K.F. Beland. 2004. Long-term changes in migration timing of adult Atlantic salmon (Salmo salar) at the southern edge of the species distribution. Canadian journal of Fisheries and Aquatic Sciences 61:2392-2400",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,47.17,-65.03,1,"Miramachi river, large fish",1954,1992,39,39,Continuous,NA,Bony fish,Taxa,Salmo salar,Atlantic salmon,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,5,NA,Phenology,Median arrival date,Population,-21.3,days,Calculated from manuscript or supplementary material,Yes statistically significant,NA,Consistent,Exploited,No,Spring,-0.213926335,Coastal,Nektonic
2010,"Moore, P.J., R.C. Thompson  and S.J. Hawkins. 2010. Phenological changes in intertidal con-specific gastrpods in response to climate warming. Global Change Biology",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,50.58,-4.32,100,2 historic study sites & 2 different modern study sites,1946,2007,62,9,Two periods,100,Benthic molluscs,Taxa,Patella depressa,Black footed limpet,Adult: breeding,Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,2,NA,Phenology,time when 25% population in reproductive states,Population,-10.2,days,Given in manuscript or supplementary material,Not tested,Southern spp according to authors,Consistent,Not exploited,No,Spring,-0.074202685,Coastal,Meroplanktonic
2010,"Moore, P.J., R.C. Thompson  and S.J. Hawkins. 2010. Phenological changes in intertidal con-specific gastrpods in response to climate warming. Global Change Biology",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,50.58,-4.32,100,2 historic study sites & 2 different modern study sites,1946,2007,62,9,Two periods,135,Benthic molluscs,Taxa,Patella vulgata,Common limpet,Adult: breeding,Primary consumer: Herbivore grazer and browser,Trailing edge,Cold water,2,NA,Phenology,seasonal peak in gonad development,Population,3.3,days,Given in manuscript or supplementary material,Not tested,Northern spp according to authors ,Consistent,Not exploited,No,Autumn,-0.806890659,Coastal,Meroplanktonic
2008,"Teal, L.R., J.J. de Leeuw, H.W. van der Veer and A.D. Rijnsdorp. 2008. Effects of climate change on growth of 0-group sole and plaice. Marine Ecology Progress Series 358:219-230",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,53,5,100000,NA,1970,2004,35,35,Continuous,15000,Bony fish,Taxa,Solea solea,sole,Juvenile,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,2,NA,Phenology,start of growing season,Single,-8,days,Calculated from manuscript or supplementary material,Not tested,NA,Consistent,Exploited,No,Autumn,-0.464272107,Coastal,Meroplanktonic
2008,"Teal, L.R., J.J. de Leeuw, H.W. van der Veer and A.D. Rijnsdorp. 2008. Effects of climate change on growth of 0-group sole and plaice. Marine Ecology Progress Series 358:219-230",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,53,5,100000,NA,1970,2004,35,35,Continuous,15000,Bony fish,Taxa,Pleuronectes platessa,plaice,Juvenile,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,2,NA,Phenology,start of growing season,Single,-10,days,Calculated from manuscript or supplementary material,Not tested,NA,Consistent,Exploited,No,Autumn,-0.464272107,Coastal,Meroplanktonic
2006,"Barbraud, C. and H. Weimerskirch. 2006. Antarctic birds breed later in response to climate change. Proceedings of the National Academy of Sciences 103: 6248-6251.",Peer-reviewed journal,SOUTHERN OCEAN,Polar seas,Southern,-66.66,140,10,"Dumont d'Urville Station, Antarctica",1950,2004,55,44,Continuous,44,Seabirds,Taxa,Aptenodytes forsteri,Emperor penguin,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,10,NA,Phenology,date of first arrival to colony,Single,0.167188406,days,Calculated from manuscript or supplementary material,Not statistically significant,NA,Consistent,Not exploited,No,Summer,0,Coastal,Nektonic
2006,"Barbraud, C. and H. Weimerskirch. 2006. Antarctic birds breed later in response to climate change. Proceedings of the National Academy of Sciences 103: 6248-6251.",Peer-reviewed journal,SOUTHERN OCEAN,Polar seas,Southern,-66.66,140,10,"Dumont d'Urville Station, Antarctica",1950,2004,55,44,Continuous,44,Seabirds,Taxa,Pygocelis adeliae,Adelie penguin,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,10,NA,Phenology,date of first arrival to colony,Single,0.386969532,days,Calculated from manuscript or supplementary material,Not statistically significant,NA,Consistent,Not exploited,No,Winter,0,Coastal,Nektonic
2006,"Barbraud, C. and H. Weimerskirch. 2006. Antarctic birds breed later in response to climate change. Proceedings of the National Academy of Sciences 103: 6248-6251.",Peer-reviewed journal,SOUTHERN OCEAN,Polar seas,Southern,-66.66,140,10,"Dumont d'Urville Station, Antarctica",1960,2004,45,28,Continuous,28,Seabirds,Taxa,Macronectes giganteus,Southern giant petrel,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,10,NA,Phenology,date of first arrival to colony,Single,1.91363366,days,Calculated from manuscript or supplementary material,Not statistically significant,NA,Consistent,Exploited,No,Autumn,-0.334520983,Coastal,Nektonic
2006,"Barbraud, C. and H. Weimerskirch. 2006. Antarctic birds breed later in response to climate change. Proceedings of the National Academy of Sciences 103: 6248-6251.",Peer-reviewed journal,SOUTHERN OCEAN,Polar seas,Southern,-66.66,140,10,"Dumont d'Urville Station, Antarctica",1950,2004,55,37,Continuous,37,Seabirds,Taxa,Fulmarus glacialoides,Southern fulmar,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,10,NA,Phenology,date of first arrival to colony,Single,3.872111696,days,Calculated from manuscript or supplementary material,Yes statistically significant,NA,Consistent,Not exploited,No,Winter,0,Coastal,Nektonic
2006,"Barbraud, C. and H. Weimerskirch. 2006. Antarctic birds breed later in response to climate change. Proceedings of the National Academy of Sciences 103: 6248-6251.",Peer-reviewed journal,SOUTHERN OCEAN,Polar seas,Southern,-66.66,140,10,"Dumont d'Urville Station, Antarctica",1959,2004,46,36,Continuous,36,Seabirds,Taxa,Oceanites oceanicus,Wilson's storm-petrel,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,10,NA,Phenology,date of first arrival to colony,Single,1.007521226,days,Calculated from manuscript or supplementary material,Yes statistically significant,NA,Consistent,Not exploited,No,Spring,0.220873069,Coastal,Nektonic
2006,"Barbraud, C. and H. Weimerskirch. 2006. Antarctic birds breed later in response to climate change. Proceedings of the National Academy of Sciences 103: 6248-6251.",Peer-reviewed journal,SOUTHERN OCEAN,Polar seas,Southern,-66.66,140,10,"Dumont d'Urville Station, Antarctica",1980,2004,25,19,Continuous,19,Seabirds,Taxa,Thalassoica antarctica,Antarctic petrel,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,10,NA,Phenology,date of first arrival to colony,Single,12.64190051,days,Calculated from manuscript or supplementary material,Yes statistically significant,NA,Consistent,Not exploited,No,Winter,0,Coastal,Nektonic
2006,"Barbraud, C. and H. Weimerskirch. 2006. Antarctic birds breed later in response to climate change. Proceedings of the National Academy of Sciences 103: 6248-6251.",Peer-reviewed journal,SOUTHERN OCEAN,Polar seas,Southern,-66.66,140,10,"Dumont d'Urville Station, Antarctica",1950,2004,55,41,Continuous,41,Seabirds,Taxa,Catharacta maccormicki,South polar skua,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,10,NA,Phenology,date of first arrival to colony,Single,0.952820078,days,Calculated from manuscript or supplementary material,Not statistically significant,NA,Consistent,Not exploited,No,Winter,0,Coastal,Nektonic
2006,"Barbraud, C. and H. Weimerskirch. 2006. Antarctic birds breed later in response to climate change. Proceedings of the National Academy of Sciences 103: 6248-6251.",Peer-reviewed journal,SOUTHERN OCEAN,Polar seas,Southern,-66.66,140,10,"Dumont d'Urville Station, Antarctica",1950,2004,55,40,Continuous,40,Seabirds,Taxa,Daption capense,Cape petrel,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,10,NA,Phenology,date of first arrival to colony,Single,1.891596944,days,Calculated from manuscript or supplementary material,Yes statistically significant,NA,Consistent,Not exploited,No,Winter,0,Coastal,Nektonic
2006,"Barbraud, C. and H. Weimerskirch. 2006. Antarctic birds breed later in response to climate change. Proceedings of the National Academy of Sciences 103: 6248-6251.",Peer-reviewed journal,SOUTHERN OCEAN,Polar seas,Southern,-66.66,140,10,"Dumont d'Urville Station, Antarctica",1970,2004,35,31,Continuous,31,Seabirds,Taxa,Pagodroma nivea,Snow petrel,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,10,NA,Phenology,date of first arrival to colony,Single,-0.585128562,days,Calculated from manuscript or supplementary material,Not statistically significant,NA,Consistent,Not exploited,No,Winter,-0.613413459,Coastal,Nektonic
2008,"Byrd, G.V., W.J. Sydeman, H.M. Renner, and S. Minobe. 2008. Responses of piscivorous seabirds at the Pribilof Islands to ocean climate.  Deep-Sea Research II 55: 1856-1867.",Peer-reviewed journal,Bering Sea,Polar seas,Northern,57,-169,10,St George Island,1975,2005,31,21,Continuous,886,Seabirds,Taxa,Rissa tridactyla,Black-legged Kittiwake,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,4,NA,Phenology,average hatch date,Population,-5.8,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Consistent,Not exploited,No,Summer,-0.01770585,Coastal,Nektonic
2008,"Byrd, G.V., W.J. Sydeman, H.M. Renner, and S. Minobe. 2008. Responses of piscivorous seabirds at the Pribilof Islands to ocean climate.  Deep-Sea Research II 55: 1856-1867.",Peer-reviewed journal,Bering Sea,Polar seas,Northern,57,-169,10,St Paul Island,1975,2005,31,22,Continuous,2736,Seabirds,Taxa,Rissa tridactyla,Black-legged Kittiwake,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,4,NA,Phenology,average hatch date,Population,-6.4,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Consistent,Not exploited,No,Summer,-0.01770585,Coastal,Nektonic
2008,"Byrd, G.V., W.J. Sydeman, H.M. Renner, and S. Minobe. 2008. Responses of piscivorous seabirds at the Pribilof Islands to ocean climate.  Deep-Sea Research II 55: 1856-1867.",Peer-reviewed journal,Bering Sea,Polar seas,Northern,57,-169,10,St George Island,1975,2005,31,21,Continuous,1845,Seabirds,Taxa,Rissa brevirostris,Red-legged Kittiwake,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,4,NA,Phenology,average hatch date,Population,-8.8,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Consistent,Not exploited,No,Summer,-0.01770585,Coastal,Nektonic
2008,"Byrd, G.V., W.J. Sydeman, H.M. Renner, and S. Minobe. 2008. Responses of piscivorous seabirds at the Pribilof Islands to ocean climate.  Deep-Sea Research II 55: 1856-1867.",Peer-reviewed journal,Bering Sea,Polar seas,Northern,57,-169,10,St Paul Island,1975,2005,31,24,Continuous,284,Seabirds,Taxa,Rissa brevirostris,Red-legged Kittiwake,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,4,NA,Phenology,average hatch date,Population,-7.9,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Consistent,Not exploited,No,Summer,-0.01770585,Coastal,Nektonic
2008,"Byrd, G.V., W.J. Sydeman, H.M. Renner, and S. Minobe. 2008. Responses of piscivorous seabirds at the Pribilof Islands to ocean climate.  Deep-Sea Research II 55: 1856-1867.",Peer-reviewed journal,Bering Sea,Polar seas,Northern,57,-169,10,St George Island,1975,2005,31,22,Continuous,676,Seabirds,Taxa,Uria aalge,Common Murre,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,4,NA,Phenology,average hatch date,Population,1.6,days,Calculated from manuscript or supplementary material,Not statistically significant,Calculated decadal change using regression on tables in appendices,Opposite to expected,Not exploited,No,Summer,-0.01770585,Coastal,Nektonic
2008,"Byrd, G.V., W.J. Sydeman, H.M. Renner, and S. Minobe. 2008. Responses of piscivorous seabirds at the Pribilof Islands to ocean climate.  Deep-Sea Research II 55: 1856-1867.",Peer-reviewed journal,Bering Sea,Polar seas,Northern,57,-169,10,St Paul Island,1975,2005,31,21,Continuous,1068,Seabirds,Taxa,Uria aalge,Common Murre,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,4,NA,Phenology,average hatch date,Population,1,days,Calculated from manuscript or supplementary material,Not statistically significant,Calculated decadal change using regression on tables in appendices,Opposite to expected,Not exploited,No,Summer,-0.01770585,Coastal,Nektonic
2008,"Byrd, G.V., W.J. Sydeman, H.M. Renner, and S. Minobe. 2008. Responses of piscivorous seabirds at the Pribilof Islands to ocean climate.  Deep-Sea Research II 55: 1856-1867.",Peer-reviewed journal,Bering Sea,Polar seas,Northern,57,-169,10,St George Island,1975,2005,31,24,Continuous,3464,Seabirds,Taxa,Uria lomvia,Thick-billed Murre,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,4,NA,Phenology,average hatch date,Population,0.01,days,Calculated from manuscript or supplementary material,Not statistically significant,Calculated decadal change using regression on tables in appendices,Opposite to expected,Not exploited,No,Summer,-0.01770585,Coastal,Nektonic
2008,"Byrd, G.V., W.J. Sydeman, H.M. Renner, and S. Minobe. 2008. Responses of piscivorous seabirds at the Pribilof Islands to ocean climate.  Deep-Sea Research II 55: 1856-1867.",Peer-reviewed journal,Bering Sea,Polar seas,Northern,57,-169,10,St Paul Island,1975,2005,31,21,Continuous,2621,Seabirds,Taxa,Uria lomvia,Thick-billed Murre,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,4,NA,Phenology,average hatch date,Population,4.7,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Opposite to expected,Not exploited,No,Summer,-0.01770585,Coastal,Nektonic
2004,"Chambers, L.E.  2004. Delayed breeding in Little Penguins-- evidence of climate change?  Australian Meteorological Magazine 53: 13-19.",Peer-reviewed journal,Bass Strait,Pacific Ocean,Southern,-38.52,145.13,1,"Summerland Peninsula, Phillip Island, Australia",1968,1998,31,31,Continuous,1705,Seabirds,Taxa,Eudyptula minor,Little penguin,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,1,NA,Phenology,mean laying date,Population,11.9,days,Calculated from manuscript or supplementary material,Yes statistically significant,Change calculated from regression of months on years.,Opposite to expected,Exploited,No,Spring,0.425323426,Coastal,Nektonic
2010,"D'Alba, L., P. Monaghan, and R.G. Nager. 2010. Advances in laying date and increasing population size suggest poistive responses to climate change in Common Eiders Somateria mollissima in Iceland. Ibis 152:19-28.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,64.02,-22.71,1,southwest Iceland,1977,2006,30,30,Continuous,30000,Seabirds,Taxa,Somateria mollissima,Common eider,Adult: breeding,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,1,NA,Phenology,onset of laying,Single,-2.8,days,Given in manuscript or supplementary material,Yes statistically significant,NA,Consistent,Exploited,No,Spring,-1.057107467,Coastal,Nektonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Larval bony fish,Taxa,fish egg assemblage,Fish eggs,Egg/Seed/Spore/Propagule/Cyst,None,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-12.88298978,days,Supplied directly by authors,Yes statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Spring,0.359862306,Pelagic,Meroplanktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Echinoderm larvae,echinoderm larvae,Larvae,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-10.31787961,days,Supplied directly by authors,Yes statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Spring,0.359862306,Pelagic,Meroplanktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Larval bony fish,Taxa,fish larvae assemblage,Fish larvae,Larvae,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-9.494389667,days,Supplied directly by authors,Yes statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Spring,0.359862306,Pelagic,Meroplanktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Ceratium macroceros,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-8.604532444,days,Supplied directly by authors,Yes statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Spring,0.359862306,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Ceratium fusus,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-8.332218278,days,Supplied directly by authors,Yes statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Spring,0.359862306,Pelagic,Planktonic
