publication_year,reference,pubtype,ocean,ocean_region,hemisphere,lat,long,size_km2,notes.geo,year_start,year_end,timespan,years_data,sampling_frequency,note.time,taxa,group,species_name,common_name,depth_category,lifestage,trophic,range_edge,species_type,number_species,note.spp,detailobs,measurement_type,direction_change,decadal_change_kmperdecade,decadal unit,metric_source,note.bio,consistent_with_climatechange,VelocityofClimateChange_kmperdec,exploited,LifeHistoryDevelopment,Nonclimatic_factors_analysed
2005,"Rivadeneira, M.M. and Fernandez, M. 2005 Shifts in southern endpoints of distribution in rocky intertidal species along the south-eastern Pacific coast. Journal of Biogeography 32: 203-209",Peer-reviewed journal,South-east Pacific,Pacific Ocean,Southern,-30,-71.7,100000,Coastline Chile,1949,2000,52,2,Two periods,comparison with muesuem and literature unable to determine if more than 2 data points,Benthic molluscs,Taxa,Acanthopleura echinata ,NA,Coastal,Multiple life stages,Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,10,NA,Southern end point,Site,0,0,km,Calculated from manuscript or supplementary material,NA,No change,286.2837334,Not exploited,Meroplanktonic,No
2005,"Rivadeneira, M.M. and Fernandez, M. 2005 Shifts in southern endpoints of distribution in rocky intertidal species along the south-eastern Pacific coast. Journal of Biogeography 32: 203-209",Peer-reviewed journal,South-east Pacific,Pacific Ocean,Southern,-30,-71.7,100000,Coastline Chile,1958,2000,43,2,Two periods,comparison with muesuem and literature unable to determine if more than 2 data points,Benthic molluscs,Taxa,Chiton granosus ,NA,Coastal,Multiple life stages,Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,10,NA,Southern end point,Site,0,0,km,Calculated from manuscript or supplementary material,NA,No change,286.2837334,Not exploited,Meroplanktonic,No
2005,"Rivadeneira, M.M. and Fernandez, M. 2005 Shifts in southern endpoints of distribution in rocky intertidal species along the south-eastern Pacific coast. Journal of Biogeography 32: 203-209",Peer-reviewed journal,South-east Pacific,Pacific Ocean,Southern,-30,-71.7,100000,Coastline Chile,1962,2000,39,2,Two periods,comparison with muesuem and literature unable to determine if more than 2 data points,Benthic molluscs,Taxa,Fissurella costata ,NA,Coastal,Multiple life stages,Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,10,NA,Southern end point,Site,0,0,km,Calculated from manuscript or supplementary material,NA,No change,286.2837334,Exploited,Meroplanktonic,No
2005,"Rivadeneira, M.M. and Fernandez, M. 2005 Shifts in southern endpoints of distribution in rocky intertidal species along the south-eastern Pacific coast. Journal of Biogeography 32: 203-209",Peer-reviewed journal,South-east Pacific,Pacific Ocean,Southern,-30,-71.7,100000,Coastline Chile,1975,2000,26,2,Two periods,comparison with muesuem and literature unable to determine if more than 2 data points,Benthic molluscs,Taxa,Fissurella limbata ,NA,Coastal,Multiple life stages,Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,10,NA,Southern end point,Site,0,0,km,Calculated from manuscript or supplementary material,NA,No change,286.2837334,Exploited,Meroplanktonic,No
2005,"Rivadeneira, M.M. and Fernandez, M. 2005 Shifts in southern endpoints of distribution in rocky intertidal species along the south-eastern Pacific coast. Journal of Biogeography 32: 203-209",Peer-reviewed journal,South-east Pacific,Pacific Ocean,Southern,-30,-71.7,100000,Coastline Chile,1947,2000,54,2,Two periods,comparison with muesuem and literature unable to determine if more than 2 data points,Benthic molluscs,Taxa,Thais haematoma ,NA,Coastal,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Leading edge,Warm water,10,NA,Southern end point,Site,-1,-155.37,km,Calculated from manuscript or supplementary material,NA,Opposite to expected,286.2837334,Not exploited,Meroplanktonic,No
2005,"Rivadeneira, M.M. and Fernandez, M. 2005 Shifts in southern endpoints of distribution in rocky intertidal species along the south-eastern Pacific coast. Journal of Biogeography 32: 203-209",Peer-reviewed journal,South-east Pacific,Pacific Ocean,Southern,-30,-71.7,100000,Coastline Chile,1962,2000,39,2,Two periods,comparison with muesuem and literature unable to determine if more than 2 data points,Benthic molluscs,Taxa,Echinoittorina peruviana  ,NA,Coastal,Multiple life stages,Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,10,NA,Southern end point,Site,-1,-138.72,km,Calculated from manuscript or supplementary material,NA,Opposite to expected,286.2837334,Not exploited,Meroplanktonic,No
2005,"Rivadeneira, M.M. and Fernandez, M. 2005 Shifts in southern endpoints of distribution in rocky intertidal species along the south-eastern Pacific coast. Journal of Biogeography 32: 203-209",Peer-reviewed journal,South-east Pacific,Pacific Ocean,Southern,-30,-71.7,100000,Coastline Chile,1962,2000,39,2,Two periods,comparison with muesuem and literature unable to determine if more than 2 data points,Benthic molluscs,Taxa,Fissurella crassa ,NA,Coastal,Multiple life stages,Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,10,NA,Southern end point,Site,-1,-96.67,km,Calculated from manuscript or supplementary material,NA,Opposite to expected,286.2837334,Exploited,Meroplanktonic,No
2005,"Rivadeneira, M.M. and Fernandez, M. 2005 Shifts in southern endpoints of distribution in rocky intertidal species along the south-eastern Pacific coast. Journal of Biogeography 32: 203-209",Peer-reviewed journal,South-east Pacific,Pacific Ocean,Southern,-30,-71.7,100000,Coastline Chile,1949,2000,52,2,Two periods,comparison with muesuem and literature unable to determine if more than 2 data points,Benthic molluscs,Taxa,Enoplochiton niger ,NA,Coastal,Multiple life stages,Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,10,NA,Southern end point,Site,-1,-71.73,km,Calculated from manuscript or supplementary material,NA,Opposite to expected,286.2837334,Not exploited,Meroplanktonic,No
2003,"Herbert, R. J. H., S. J. Hawkins, M. Sheader, and A. J. Southward. 2003. Range extension and reproduction of the barnacle Balanus perforatus in the eastern English Channel. Journal of the Marine Biological Association of the United Kingdom 83:73-82.",Peer-reviewed journal,English Channel,Atlantic Ocean,Northern,50.7,-0.8,100000,"south coast England, Hastings",1964,2001,38,5,Two periods,comparison 1960s with 2000a,Benthic crustacea,Taxa,Balanus perforatus,NA,Coastal,Multiple life stages,Secondary consumer : Omnivore suspension feeder,Leading edge,Warm water,2,NA,Eastward range expansion,Site,1,32.4,km,Calculated from manuscript or supplementary material,see fig 1,Consistent,1000,Not exploited,Meroplanktonic,No
2003,"Herbert, R. J. H., S. J. Hawkins, M. Sheader, and A. J. Southward. 2003. Range extension and reproduction of the barnacle Balanus perforatus in the eastern English Channel. Journal of the Marine Biological Association of the United Kingdom 83:73-82.",Peer-reviewed journal,English Channel,Atlantic Ocean,Northern,49.9,0.7,100000,"north coast France, Le Treport",1964,2001,38,3,Two periods,comparison 1960s with 2000a,Benthic crustacea,Taxa,Balanus perforatus,NA,Coastal,Multiple life stages,Secondary consumer : Omnivore suspension feeder,Leading edge,Warm water,2,NA,Eastward range expansion,Site,1,50,km,Calculated from manuscript or supplementary material,see fig 1,Consistent,941.2088737,Not exploited,Meroplanktonic,No
2007,"Herbert, R. J. H., A. J. Southward, M. Sheader, and S. J. Hawkins 2007 Influence of recruitment and temperature on the distribution of intertidal barnacles in the English Channel. Journal of the Marine Biological Association of the United Kingdom 87: 487-",Peer-reviewed journal,English Channel,Atlantic Ocean,Northern,50.7,-0.8,100000,south coast England ,1955,2004,50,12,Two periods,compared 1950s with 2000s,Benthic crustacea,Taxa,Chthamalus montagui,NA,Coastal,Multiple life stages,Secondary consumer : Omnivore suspension feeder,Leading edge,Warm water,2,NA,Eastward range expansion,Site,1,4.44,km,Calculated from manuscript or supplementary material,see fig 3,Consistent,1000,Not exploited,Meroplanktonic,No
2007,"Herbert, R. J. H., A. J. Southward, M. Sheader, and S. J. Hawkins 2007 Influence of recruitment and temperature on the distribution of intertidal barnacles in the English Channel. Journal of the Marine Biological Association of the United Kingdom 87: 487-",Peer-reviewed journal,English Channel,Atlantic Ocean,Northern,50.7,-0.8,100000,north coast France,1955,2001,47,4,Two periods,compared 1950s with 2000s,Benthic crustacea,Taxa,Chthamalus montagui,NA,Coastal,Multiple life stages,Secondary consumer : Omnivore suspension feeder,Leading edge,Warm water,2,NA,Eastward range expansion,Site,1,21.74,km,Calculated from manuscript or supplementary material,see fig 3,Consistent,1000,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,37.95,-8.88,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Chondrus crispus ,NA,Coastal,Multiple life stages,Primary producer,Trailing edge,Cold water,37,NA,"Northwards shift, cold water sp",Site,1,-38.3,km,Calculated from manuscript or supplementary material,NA,Consistent,474.469344,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,38.47,-9,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Desmarestia ligulata ,NA,Coastal,Multiple life stages,Primary producer,Trailing edge,Cold water,37,NA,"Northwards shift, cold water sp",Site,1,-14.89,km,Calculated from manuscript or supplementary material,NA,Consistent,500.243779,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,41.14,-8.68,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Dumontia contorta ,NA,Coastal,Multiple life stages,Primary producer,Trailing edge,Cold water,37,NA,"Northwards shift, cold water sp",Site,1,-13.19,km,Calculated from manuscript or supplementary material,NA,Consistent,461.0212782,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,39.51,-9.14,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Himanthalia elongata ,NA,Coastal,Multiple life stages,Primary producer,Trailing edge,Cold water,37,NA,"Northwards shift, cold water sp",Site,1,-46.6,km,Calculated from manuscript or supplementary material,NA,Consistent,470.8962965,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,38.66,-9.29,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Palmaria palmata ,NA,Coastal,Multiple life stages,Primary producer,Trailing edge,Cold water,37,NA,"Northwards shift, cold water sp",Site,1,-76.17,km,Calculated from manuscript or supplementary material,NA,Consistent,500.243779,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,39.41,-9.57,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Pelvetia canaliculata ,NA,Coastal,Multiple life stages,Primary producer,Trailing edge,Cold water,37,NA,"Northwards shift, cold water sp",Site,1,-52.13,km,Calculated from manuscript or supplementary material,NA,Consistent,470.8962965,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,41.8,-8.87,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Asparagopsis armat,NA,Coastal,Multiple life stages,Primary producer,Leading edge,Warm water,37,NA,Northwards shift warm water sp,Site,1,61.06,km,Calculated from manuscript or supplementary material,NA,Consistent,461.0212782,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,39.51,-9.14,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Codium adhaerens ,NA,Coastal,Multiple life stages,Primary producer,Leading edge,Warm water,37,NA,Northwards shift warm water sp,Site,1,12.55,km,Calculated from manuscript or supplementary material,NA,Consistent,470.8962965,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,41.37,-8.78,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Halopithys incurva ,NA,Coastal,Multiple life stages,Primary producer,Leading edge,Warm water,37,NA,Northwards shift warm water sp,Site,1,101.06,km,Calculated from manuscript or supplementary material,NA,Consistent,461.0212782,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,38.47,-9,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Hypnea musciformis ,NA,Coastal,Multiple life stages,Primary producer,Leading edge,Warm water,37,NA,Northwards shift warm water sp,Site,1,57.23,km,Calculated from manuscript or supplementary material,NA,Consistent,500.243779,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,41.8,-8.87,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Leathesia difformis ,NA,Coastal,Multiple life stages,Primary producer,Leading edge,Warm water,37,NA,Northwards shift warm water sp,Site,1,68.09,km,Calculated from manuscript or supplementary material,NA,Consistent,461.0212782,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,39.37,-9.34,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Padina pavonica ,NA,Coastal,Multiple life stages,Primary producer,Leading edge,Warm water,37,NA,Northwards shift warm water sp,Site,1,39.79,km,Calculated from manuscript or supplementary material,NA,Consistent,470.8962965,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,37.95,-8.88,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Sargassum flavifolium,NA,Coastal,Multiple life stages,Primary producer,Leading edge,Warm water,37,NA,Northwards shift warm water sp,Site,1,126.17,km,Calculated from manuscript or supplementary material,NA,Consistent,474.469344,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,39.51,-9.14,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Valonia utricularis ,NA,Coastal,Multiple life stages,Primary producer,Leading edge,Warm water,37,NA,Northwards shift warm water sp,Site,1,41.91,km,Calculated from manuscript or supplementary material,NA,Consistent,470.8962965,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,37.11,-8.58,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Ascophyllum nodosum ,NA,Coastal,Multiple life stages,Primary producer,Trailing edge,Cold water,37,NA,non significant shift cold-water species,Site,0,0,km,Calculated from manuscript or supplementary material,NA,No change,474.469344,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,38.47,-9,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Calliblepharis ciliata ,NA,Coastal,Multiple life stages,Primary producer,Trailing edge,Cold water,37,NA,non significant shift cold-water species,Site,0,0,km,Calculated from manuscript or supplementary material,NA,No change,500.243779,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,37.09,-8.66,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Cystoseira baccata ,NA,Coastal,Multiple life stages,Primary producer,Trailing edge,Cold water,37,NA,non significant shift cold-water species,Site,0,0,km,Calculated from manuscript or supplementary material,NA,No change,474.469344,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,36.99,-8.87,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Fucus spiralis ,NA,Coastal,Multiple life stages,Primary producer,Trailing edge,Cold water,37,NA,non significant shift cold-water species,Site,0,0,km,Calculated from manuscript or supplementary material,NA,No change,558.068899,Not exploited,Meroplanktonic,No
2007,"Lima, F. P., P. A. Ribeiro, N. Queiroz, S. J. Hawkins, and A. M. Santos. 2007. Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,39.37,-9.34,10000,Coastline of Portugal,1960,2006,47,10,Two periods,1950s & 60s to 2001-2006,Benthic algae,Taxa,Laminaria hyperborea ,NA,Coastal,Multiple life stages,Primary producer,Trailing edge,Cold water,37,NA,non significant shift cold-water species,Site,0,0,km,Calculated from manuscript or supplementary material,NA,No change,470.8962965,Not exploited,Meroplanktonic,No
