paperID,enteredby,study_biome,study_continent,study_location,exp_obs,n_years,study_level,n_species,taxongroup_studied,species_group,species_order,phenophase,track_what,track_yesno,track_yesno_how,track_min,track_max,track_avg,track_notes,track_minmax_unit,trait,trait_type,link_trackingandtrait_yesno,link_trackingandtrait_posneg,link_trackingandtrait_posneg_explain,link_trackingandtrait_rsq,link_trackingandtrait_number,link_trackingandtrait_numberunit,link_trackingandtrait_how,tablesfigures_forlinkingtraittrack,notes,,
Brooks2016,ks,multiple,Europe,Brittain,obs,158,across_species,41,Lepidoptera,,,10th percentile collection date,temperature,yes,,-0.4,0.4,,not tracking - total phenological shift,days/year,Niche breadth score,,no,,,,0.18,importance score,importance>50%,table 4,,,
Brooks2016,ks,multiple,Europe,Brittain,obs,158,across_species,41,Lepidoptera,,,10th percentile collection date,temperature,yes,,-0.4,0.4,,not tracking - total phenological shift,days/year,Max number generations,,no,,,,0.15,importance score,importance>50%,table 4,,,
Brooks2016,ks,multiple,Europe,Brittain,obs,158,across_species,41,Lepidoptera,,,10th percentile collection date,temperature,yes,,-0.4,0.4,,not tracking - total phenological shift,days/year,overwintering stage,,yes,negative,,,-0.7,inportance score,importance>50%,"Appendix 1, Table A2 (supplement)",,,
Du2017,ks,,Asia,China ( Forest Botanical Garden of Heilongjiang Province in the city of Harbin),obs,10 to 27,across_species,52,angiosperms,,,flowering timing,temperature,yes,p=0.019,_6.42,5.54,_2.87,max min and avg tracking given in results,days/¡C,earyness,,no,,,0.01,,,p=0.48,table S3,,,
Du2017,ks,,Asia,China ( Forest Botanical Garden of Heilongjiang Province in the city of Harbin),obs,10 to 27,across_species,52,angiosperms,,,flowering timing,temperature,yes,p=0.019,_6.42,5.54,_2.87,max min and avg tracking given in results,days/¡C,nativeness,,no,,,0.09,,,p=0.04,table S3,,,
Du2017,ks,,Asia,China ( Forest Botanical Garden of Heilongjiang Province in the city of Harbin),obs,10 to 27,across_species,52,angiosperms,,,flowering timing,temperature,yes,p=0.019,_6.42,5.54,_2.87,max min and avg tracking given in results,days/¡C,fruit type,,no,,,0.01,,,p=0.54,table S3,,,
Du2017,ks,,Asia,China ( Forest Botanical Garden of Heilongjiang Province in the city of Harbin),obs,10 to 27,across_species,52,angiosperms,,,flowering timing,temperature,yes,p=0.019,_6.42,5.54,_2.87,max min and avg tracking given in results,days/¡C,polination syndrome (wind or animal),,no,,,0.01,,,p=0.55,table S3,,,
Du2017,ks,,Asia,China ( Forest Botanical Garden of Heilongjiang Province in the city of Harbin),obs,10 to 27,across_species,52,angiosperms,,,flowering timing,precipitation,yes,p=0.009,,,,Relationships and slopes were given but no actual tracking values,,earyness,,no,,,0.04,,,p=0.17,table S3,,,
Du2017,ks,,Asia,China ( Forest Botanical Garden of Heilongjiang Province in the city of Harbin),obs,10 to 27,across_species,52,angiosperms,,,flowering timing,precipitation,yes,p=0.009,,,,Relationships and slopes were given but no actual tracking values,,nativeness,,no,,,0.02,,,p=0.34,table S3,,,
Du2017,ks,,Asia,China ( Forest Botanical Garden of Heilongjiang Province in the city of Harbin),obs,10 to 27,across_species,52,angiosperms,,,flowering timing,precipitation,yes,p=0.009,,,,Relationships and slopes were given but no actual tracking values,,fruit type,,no,,,0.02,,,p=0.32,table S3,,,
Du2017,ks,,Asia,China ( Forest Botanical Garden of Heilongjiang Province in the city of Harbin),obs,10 to 27,across_species,52,angiosperms,,,flowering timing,precipitation,yes,p=0.009,,,,Relationships and slopes were given but no actual tracking values,,polination syndrome (wind or animal),,no,,,0.001,,,p=0.87,table S3,,,
Du2017,ks,,Asia,China ( Forest Botanical Garden of Heilongjiang Province in the city of Harbin),obs,10 to 27,across_species,52,angiosperms,,,leafout,temperature,yes,p=0.67,_7.65,_0.96,_3.11,max min and avg tracking given in results,days/¡C,earyness,,no,,,0.004,,,p=0.68,table S3,,,
Du2017,ks,,Asia,China ( Forest Botanical Garden of Heilongjiang Province in the city of Harbin),obs,10 to 27,across_species,52,angiosperms,,,leafout,temperature,yes,p=0.67,_7.65,_0.96,_3.11,max min and avg tracking given in results,days/¡C,nativeness,,no,,,0.05,,,p=0.16,table S3,,,
Du2017,ks,,Asia,China ( Forest Botanical Garden of Heilongjiang Province in the city of Harbin),obs,10 to 27,across_species,52,angiosperms,,,leafout,precipitation,no,p=0.371,,,,Relationships and slopes were given but no actual tracking values,,earyness,,yes,positive,early species track better,0.39,,,p<0.001,table S3,,,
Du2017,ks,,Asia,China ( Forest Botanical Garden of Heilongjiang Province in the city of Harbin),obs,10 to 27,across_species,52,angiosperms,,,leafout,precipitation,no,p=0.371,,,,Relationships and slopes were given but no actual tracking values,,nativeness,,no,,,0.06,,,p=0.11,table S3,,,
Lasky2016,ks,tropical dry forests,central/south america,"puerto rico, Gu‡nica State Forest",obs,4,across_species,27,angiosperms,,,flowering,precipitation,yes,,,,,no tracking data given,,leaf area,conservative vs acquisitive,yes,positive,species with greater max height are more sensitive to precipitation,,,,discussion,,,,
Lasky2016,ks,tropical dry forests,central/south america,"puerto rico, Gu‡nica State Forest",obs,4,across_species,27,angiosperms,,,flowering,precipitation,yes,,,,,no tracking data given,,taproot presence,conservative vs acquisitive,yes,negative,Having a taproot leads to less sensitivity to precipitation,,,,discussion,,this was not a significant trend,,
Zhu2016,ks,alpine meadow grassland,Asia,central Tibetan Plateau,exp,2,across_species,6,grasses and forbs,,,flowering,temperature,yes,,,,,no tracking data given,,rooting depth & earlyness,,yes,,shallow-rooted and early-flowering species are more sensitive to warming that deep-rooted late-flowering species,,,,discussion,,the discussion was very ambiguous,,
Munson2017,ks,,North America,,obs,118,across_species,16,poaceae,,,flowering timing,,yes,P< 0.0001,-24.2,27.7,,Taken from the max and min among data for individual species,days/¡C,C3/C4,,yes,,C3 plants shift to earlier flowering while C4 plants delay flowering,,,,,,,,
Munson2017,ks,,North America,,obs,118,across_species,16,poaceae,,,flowering timing,,yes,P< 0.0001,-24.2,27.7,,Taken from the max and min among data for individual species,days/¡C,annual/perrenial,,yes,,annual plants track more strongly than perrenial plants,,,,,,,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,spatial temperature,yes,P< 0.0001,-15,6.5,-1.5,"average taken from text, max/min from imagej (fig. 1)",days/¡C,mobility,,yes,negative,less mobile butterflies are more sensitive to temperature,,-0.073,coefficient,p= 0.019,"table 2, figure 3",,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,spatial temperature,yes,P< 0.0001,-15,6.5,-1.5,"average taken from text, max/min from imagej (fig. 1)",days/¡C,timing of flight season,,yes,negative,earlier season species had stronger phenological sensitivity to temperature,,-0.0039,coefficient,p= 0.03,"table 2, figure 3",,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,spatial temperature,yes,P< 0.0001,-15,6.5,-1.5,"average taken from text, max/min from imagej (fig. 1)",days/¡C,average number of generations,,no,,,,-0.087,coefficient,p= 0.1,table 2,,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,spatial temperature,yes,P< 0.0001,-15,6.5,-1.5,"average taken from text, max/min from imagej (fig. 1)",days/¡C,average length of flight season,,no,,,,-0.034,coefficient,p= 0.18,table 2,,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,spatial temperature,yes,P< 0.0001,-15,6.5,-1.5,"average taken from text, max/min from imagej (fig. 1)",days/¡C,larval host breadth,,no,,,,-0.079,coefficient,p= 0.3,table 2,,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,spatial temperature,yes,P< 0.0001,-15,6.5,-1.5,"average taken from text, max/min from imagej (fig. 1)",days/¡C,range size,,no,,,,-0.000133,coefficient,p= 0.14,table 2,,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,spatial temperature,yes,P< 0.0001,-15,6.5,-1.5,"average taken from text, max/min from imagej (fig. 1)",days/¡C,wing size,,no,,,,-0.14,coefficient,p= 0.25,table 2,,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,spatial temperature,yes,P< 0.0001,-15,6.5,-1.5,"average taken from text, max/min from imagej (fig. 1)",days/¡C,overwintering,,no,,,,-0.03,coefficient,p= 0.61,table 2,,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,temporal temperature,yes,P< 0.0001,-11.5,13.8,-2.38,"average taken from text, max/min from imagej (fig. 1)",days/¡C,mobility,,no,,,,-0.039,coefficient,p=0.16,table 2,,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,temporal temperature,yes,P< 0.0001,-11.5,13.8,-2.38,"average taken from text, max/min from imagej (fig. 1)",days/¡C,timing of flight season,,no,,,,-0.002,coefficient,p=0.14,table 2,,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,temporal temperature,yes,P< 0.0001,-11.5,13.8,-2.38,"average taken from text, max/min from imagej (fig. 1)",days/¡C,average number of generations,,no,,,,0.061,coefficient,p=0.18,table 2,,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,temporal temperature,yes,P< 0.0001,-11.5,13.8,-2.38,"average taken from text, max/min from imagej (fig. 1)",days/¡C,average length of flight season,,no,,,,-0.021,coefficient,p=0.76,table 2,,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,temporal temperature,yes,P< 0.0001,-11.5,13.8,-2.38,"average taken from text, max/min from imagej (fig. 1)",days/¡C,larval host breadth,,no,,,,0.023,coefficient,p=0.71,table 2,,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,temporal temperature,yes,P< 0.0001,-11.5,13.8,-2.38,"average taken from text, max/min from imagej (fig. 1)",days/¡C,range size,,no,,,,-0.000067,coefficient,p=0.39,table 2,,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,temporal temperature,yes,P< 0.0001,-11.5,13.8,-2.38,"average taken from text, max/min from imagej (fig. 1)",days/¡C,wing size,,no,,,,-0.089,coefficient,p=0.41,table 2,,,
Kharouba2014,ks,,North America,Canada,obs,139,across_species,204,Lepidoptera,,,flight season timing,temporal temperature,yes,P< 0.0001,-11.5,13.8,-2.38,"average taken from text, max/min from imagej (fig. 1)",days/¡C,overwintering,,no,,,,0.039,coefficient,p=0.45,table 2,,,
Ishioka2013,ks,deciduous forest,Asia,"Hokkaido, Japan",exp,1,across_species,7,angiosperms,,,leafout,temperature,yes,,-10.5,14,,data taken from methods - differency in time to leaf out in 5¡C elivated warming plots,days,early/late,,yes,positive,earlier species track more,,,,,,,,
Ishioka2013,ks,deciduous forest,Asia,"Hokkaido, Japan",exp,1,across_species,7,angiosperms,,,leafout,temperature,yes,,-10.5,14,,data taken from methods - differency in time to leaf out in 5¡C elivated warming plots,days,photosynthetic rate,,didnottry,,,,,,conclusion,,"this was the only trait out of many that was associated with thracking, though there were no stats",,
Ishioka2013,ks,deciduous forest,Asia,"Hokkaido, Japan",exp,1,across_species,7,angiosperms,,,leafout,temperature,yes,,-10.5,14,,data taken from methods - differency in time to leaf out in 5¡C elivated warming plots,days,stomatal conductance,,didnottry,,,,,,,,,,
Ishioka2013,ks,deciduous forest,Asia,"Hokkaido, Japan",exp,1,across_species,7,angiosperms,,,leafout,temperature,yes,,-10.5,14,,data taken from methods - differency in time to leaf out in 5¡C elivated warming plots,days,height,,didnottry,,,,,,,,,,
Xia2013,ks,semi-arid steppe,Asia,"Inner Mongolia, China",exp,4,across_species,8,angiosperms,,,flowering time,temperature,yes,p<0.01,,,0.64,unclear whatthe unit 'days per season' means,days per season,early/late,,yes,positive,earlier species track more,0.47,,,P = 0.060,,,,
Xia2013,ks,semi-arid steppe,Asia,"Inner Mongolia, China",exp,4,across_species,8,angiosperms,,,flowering time,temperature,yes,p<0.01,,,0.64,unclear whatthe unit 'days per season' means,days per season,polination syndrome (wind or insect),,yes,,entomophilous(insect) species track while anemophilous(wind) species do not,,,,P = 0.01,,,,
Xia2013,ks,semi-arid steppe,Asia,"Inner Mongolia, China",exp,4,across_species,8,angiosperms,,,flowering time,temperature,yes,p<0.01,,,0.64,unclear whatthe unit 'days per season' means,days per season,species type,,yes,,forbs track but grasses and shrubs do not,,,,discussion,,,,
Xia2013,ks,semi-arid steppe,Asia,"Inner Mongolia, China",exp,4,across_species,8,angiosperms,,,fruiting time,temperature,yes,p<0.01,,,0.72,unclear whatthe unit 'days per season' means,days per season,early/late,,yes,positive,earlier species track more,0.49,,,P = 0.054,,,,
Xia2013,ks,semi-arid steppe,Asia,"Inner Mongolia, China",exp,4,across_species,8,angiosperms,,,fruiting time,temperature,yes,p<0.01,,,0.72,unclear whatthe unit 'days per season' means,days per season,polination syndrome (wind or insect),,yes,,entomophilous(insect) species track while anemophilous(wind) species do not,,,,P = 0.006,,,,
Xia2013,ks,semi-arid steppe,Asia,"Inner Mongolia, China",exp,4,across_species,8,angiosperms,,,fruiting time,temperature,yes,p<0.01,,,0.72,unclear whatthe unit 'days per season' means,days per season,species type,,yes,,forbs track but grasses and shrubs do not,,,,discussion,,,,
Dorji2013,ks,semiarid alpine meadow,Asia,"Nyanchenthanglha mountain range, near Nam Tso lake, central Tibet",exp,2,across_species,4,angiosperms,,,flowering time,temperature,yes,,-6.22,13,,"gave tracking as per species; cannot distinguish significance codes; to convert to degree days "" warming increased both air and soil temps by 1.15 and 1.6 C respectively""",days,"early, shallowrooted/ late, deeprooted",,yes,,"earlier, shallow rooted species track more than later deep rooted species",,,,discussion,,confusing and weak link between trackng and traits in discussion,,
Suzuki1997,ks,temperate alpine,Asia,"Taisetsu Mountains, Northern Japan",exp,1,across_species,5,angiosperms,,,flowering,temperature,yes,,,,,cannot extract tracking data,,SLA,,didnottry,,,,,,,,,,
Suzuki1997,ks,temperate alpine,Asia,"Taisetsu Mountains, Northern Japan",exp,1,across_species,5,angiosperms,,,leaf emergance,temperature,yes,,,,,cannot extract tracking data,,SLA,,didnottry,,,,,,,,,,
Suzuki1997,ks,temperate alpine,Asia,"Taisetsu Mountains, Northern Japan",exp,1,across_species,5,angiosperms,,,leaf senscence,temperature,yes,,,,,cannot extract tracking data,,SLA,,didnottry,,,,,,,,,,
Suzuki1997,ks,temperate alpine,Asia,"Taisetsu Mountains, Northern Japan",exp,1,across_species,5,angiosperms,,,flowering,temperature,yes,,,,,cannot extract tracking data,,leaf size,,didnottry,,,,,,,,,,
Suzuki1997,ks,temperate alpine,Asia,"Taisetsu Mountains, Northern Japan",exp,1,across_species,5,angiosperms,,,leaf emergance,temperature,yes,,,,,cannot extract tracking data,,leaf size,,didnottry,,,,,,,,,,
Suzuki1997,ks,temperate alpine,Asia,"Taisetsu Mountains, Northern Japan",exp,1,across_species,5,angiosperms,,,leaf senscence,temperature,yes,,,,,cannot extract tracking data,,leaf size,,didnottry,,,,,,,,,,
Suzuki1997,ks,temperate alpine,Asia,"Taisetsu Mountains, Northern Japan",exp,1,across_species,5,angiosperms,,,flowering,temperature,yes,,,,,cannot extract tracking data,,leaf nitrogen content,,didnottry,,,,,,,,,,
Suzuki1997,ks,temperate alpine,Asia,"Taisetsu Mountains, Northern Japan",exp,1,across_species,5,angiosperms,,,leaf emergance,temperature,yes,,,,,cannot extract tracking data,,leaf nitrogen content,,didnottry,,,,,,,,,,
Suzuki1997,ks,temperate alpine,Asia,"Taisetsu Mountains, Northern Japan",exp,1,across_species,5,angiosperms,,,leaf senscence,temperature,yes,,,,,cannot extract tracking data,,leaf nitrogen content,,didnottry,,,,,,,,,,
Suzuki1997,ks,temperate alpine,Asia,"Taisetsu Mountains, Northern Japan",exp,1,across_species,5,angiosperms,,,flowering,temperature,yes,,,,,cannot extract tracking data,,deciduois/evergreen,,didnottry,,,,,,,,,,
Suzuki1997,ks,temperate alpine,Asia,"Taisetsu Mountains, Northern Japan",exp,1,across_species,5,angiosperms,,,leaf emergance,temperature,yes,,,,,cannot extract tracking data,,deciduois/evergreen,,didnottry,,,,,,,,,,
Suzuki1997,ks,temperate alpine,Asia,"Taisetsu Mountains, Northern Japan",exp,1,across_species,5,angiosperms,,,leaf senscence,temperature,yes,,,,,cannot extract tracking data,,deciduois/evergreen,,didnottry,,,,,,,,,,
Moussus2011,ks,,Europe,,obs,20,across_species,20,passerine birds,,,breeding time,temperature,yes,,-6.6,1.37,,"give tracking as per species, not all statistically significant",days/¡C,annual brood number,,no,negative,,,-1.13,slope,p= 0.34,table 2,,,
Moussus2011,ks,,Europe,,obs,20,across_species,20,passerine birds,,,breeding time,temperature,yes,,-6.6,1.37,,"give tracking as per species, not all statistically significant",days/¡C,brain mass,,yes,negative,species with larger brain mass can track better,,_10.40,slope,p= 0.045,table 2,,,
Moussus2011,ks,,Europe,,obs,20,across_species,20,passerine birds,,,breeding time,temperature,yes,,-6.6,1.37,,"give tracking as per species, not all statistically significant",days/¡C,diet,,no,,,,,,p= 0.4,table 2,,,
Moussus2011,ks,,Europe,,obs,20,across_species,20,passerine birds,,,breeding time,temperature,yes,,-6.6,1.37,,"give tracking as per species, not all statistically significant",days/¡C,thermal niche breadth,,yes,negative,species with larger niche breadth can track better,,-0.8,slope,p= 0.0005,table 2,,,
Moussus2011,ks,,Europe,,obs,20,across_species,20,passerine birds,,,breeding time,temperature,yes,,-6.6,1.37,,"give tracking as per species, not all statistically significant",days/¡C,habitat specialization,,yes,positive,generalists track better than specialists,,2.38,slope,p= 0.04,table 2,,,
Moussus2011,ks,,Europe,,obs,20,across_species,20,passerine birds,,,breeding time,temperature,yes,,-6.6,1.37,,"give tracking as per species, not all statistically significant",days/¡C,migration distance,,yes,positive,species with smaller migration distances can track better,,1.29,slope,p <0.0001,table 2,,,
Diamond2011,ks,,Europe,U.K,obs,32,across_species,44,Lepidoptera,,,date of first appearance,temperature,yes,,-10,0,,"more info in supplementary, but link to this is non-functional",days per decade,diet breadth,,yes,positive,species with less host plants at a larval stage track better,,3.553745928,slope (days/#host plants),p= 0.0058,"table 1, figure 2","more information likely in supplement, slope from imagej",,
Diamond2011,ks,,Europe,U.K,obs,32,across_species,44,Lepidoptera,,,date of first appearance,temperature,yes,,-10,0,,"more info in supplementary, but link to this is non-functional",days per decade,overwintering stage,,yes,,species that overwinter as adults have track more than species that overwinter as larvae or pupae,,,,"p=0037 (larvae), p<0.001 (pupae)","table 1, figure 2",more information likely in supplement,,
Diamond2011,ks,,Europe,U.K,obs,32,across_species,44,Lepidoptera,,,date of first appearance,temperature,yes,,-10,0,,"more info in supplementary, but link to this is non-functional",days per decade,baseline date first appearance,,yes,positive,earlier species track more,,2.908505155,slope (days advanced/baseline date of first appearance),p=0.0758,"table 1, figure 2","more information likely in supplement, slope from imagej",,
Diamond2011,ks,,Europe,U.K,obs,32,across_species,44,Lepidoptera,,,date of first appearance,temperature,yes,,-10,0,,"more info in supplementary, but link to this is non-functional",days per decade,percentage national 10-km grid cells occupied X U.K. latitudinal extent,,yes,positive,"more widespread, dense species experience less phenological advancement",,0.94804695,slope,p<0.001,"table 1, figure 2","more information likely in supplement, slope from imagej",,
Diamond2011,ks,,Europe,U.K,obs,32,across_species,44,Lepidoptera,,,date of first appearance,temperature,yes,,-10,0,,"more info in supplementary, but link to this is non-functional",days per decade,dispresal ability,,no,,,,,,"results, no numbers given",,more information likely in supplement,,
Diamond2011,ks,,Europe,U.K,obs,32,across_species,44,Lepidoptera,,,date of first appearance,temperature,yes,,-10,0,,"more info in supplementary, but link to this is non-functional",days per decade,voltinism,,no,,,,,,"results, no numbers given",,more information likely in supplement,,
Diamond2011,ks,,Europe,U.K,obs,32,across_species,44,Lepidoptera,,,date of first appearance,temperature,yes,,-10,0,,"more info in supplementary, but link to this is non-functional",days per decade,northern range edge,,no,,,,,,"results, no numbers given",,more information likely in supplement,,
Goodenough2010,ks,mature oak woodland,Europe,"Nagshead Nature Reserve (Gloucestershire, UK)",obs,31,across_species,6,passerine birds,,,lay date,temperature,yes,p<0.05,-8.8,0,,,days,resident or migratory,,yes,,resident species track while migratory do not,,,,,,No special analysis done to see how the trait relates to tracking - only that they observed that the resident species shifted phenology while migrant species did not,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,bud break,temperature,yes,p<0.01,-10.2,-2.8,,temp increase was 2.9 c for conversion to degree days,days,SLA,,didnottry,,,,,,,,,,
